report_date,window_start,window_end,stnId,obs_count,mean_BF,mean_CA_MID,mean_CA_TOT,mean_CH_MIN,mean_CT_LOW,mean_CT_MID,mean_CT_TOP,mean_GST_TM,mean_GST_WD,mean_GST_WS,mean_HM,mean_IR,mean_IX,mean_PA,mean_PR,mean_PS,mean_PT,mean_PV,mean_RN,mean_RN_DAY,mean_RN_INT,mean_RN_JUN,mean_SD_DAY,mean_SD_HR3,mean_SD_TOT,mean_SI,mean_SS,mean_ST_GD,mean_ST_SEA,mean_TA,mean_TD,mean_TE_005,mean_TE_01,mean_TE_02,mean_TE_03,mean_TS,mean_VS,mean_WC,mean_WD,mean_WH,mean_WP,mean_WS,mean_WW,mean_tm
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,235,25,-9.000,4.040,5.040,15.240,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,75.160,3.000,-9.000,1012.540,-6.052,1013.752,-5.240,7.912,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-3.484,-3.832,-9.000,-9.000,8.000,3.408,-99.000,-99.000,-99.000,-99.000,10.680,1422.000,-9.000,13.880,-9.000,-9.000,0.896,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,236,25,-9.000,1.720,5.360,6.720,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,72.240,3.000,-9.000,1012.604,-6.048,1014.240,-5.120,8.384,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-3.876,-9.000,-9.000,9.468,4.148,-99.000,-99.000,-99.000,-99.000,11.284,2503.920,-9.000,8.560,-9.000,-9.000,0.608,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,238,25,-9.000,2.360,5.640,3.520,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,74.440,2.920,-9.000,992.820,-6.036,1013.280,-4.800,9.332,-8.640,-6.840,-9.000,-6.840,-9.000,-9.000,-9.000,-9.000,-3.948,-9.000,-9.000,10.256,5.636,-99.000,-99.000,-99.000,-99.000,10.932,2802.520,-9.000,13.160,-9.000,-9.000,1.020,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,239,25,-9.000,2.800,5.320,11.400,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,64.800,3.000,-9.000,1002.496,-6.044,1013.312,-5.280,8.224,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-3.566,-3.920,-9.000,-9.000,10.420,3.608,-99.000,-99.000,-99.000,-99.000,11.172,2271.880,-9.000,21.320,-9.000,-9.000,1.364,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,243,25,-9.000,1.960,4.640,10.720,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,73.000,3.000,-9.000,1013.108,-6.044,1014.608,-5.240,8.660,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-3.904,-9.000,-9.000,9.512,4.660,-99.000,-99.000,-99.000,-99.000,10.636,1921.880,-9.000,17.400,-9.000,-9.000,0.976,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,244,25,-9.000,3.160,5.760,3.520,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,74.720,3.000,-9.000,984.192,-5.996,1013.824,-5.240,8.988,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-3.948,-9.000,-9.000,9.556,5.012,-99.000,-99.000,-99.000,-99.000,11.064,1369.320,-9.000,21.920,-9.000,-9.000,1.188,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,245,25,-9.000,2.400,4.960,13.360,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,74.920,3.000,-9.000,1006.108,-6.032,1014.464,-4.960,8.992,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-3.556,-3.900,-9.000,-9.000,9.412,5.000,-99.000,-99.000,-99.000,-99.000,11.456,1547.600,-9.000,18.520,-9.000,-9.000,1.348,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,247,25,-9.000,3.080,6.040,7.160,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,83.520,2.680,-9.000,997.588,-6.012,1013.700,-5.080,10.208,-7.392,-3.364,-9.000,-3.364,-9.000,-9.000,-9.000,-9.000,-3.944,-9.000,-9.000,9.892,6.976,-99.000,-99.000,-99.000,-99.000,10.708,1242.200,-9.000,18.680,-9.000,-9.000,1.240,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,248,25,-9.000,4.880,6.200,6.840,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,82.120,2.600,-9.000,965.540,-5.996,1014.008,-4.800,9.160,-7.132,-1.036,-9.000,-1.036,-9.000,-9.000,-9.000,-9.000,-3.936,-9.000,-9.000,8.444,5.292,-99.000,-99.000,-99.000,-99.000,10.060,2003.720,-9.000,13.480,-9.000,-9.000,1.096,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,251,25,-9.000,2.520,5.360,3.480,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,78.000,3.000,-9.000,1007.064,-6.020,1014.228,-5.280,9.008,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-3.580,-3.940,-9.000,-9.000,8.764,4.984,12.216,11.992,12.120,11.932,10.980,2005.200,-9.000,11.640,-9.000,-9.000,0.968,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,252,25,-9.000,1.120,5.320,6.040,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,78.800,3.000,-8.560,1010.160,-6.024,1014.712,-5.320,8.964,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-3.586,-3.944,-9.000,-9.000,8.816,5.056,11.556,12.028,12.424,12.236,10.668,1586.240,-9.000,12.160,-9.000,-9.000,0.956,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,253,24,-9.000,5.250,7.583,12.042,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,80.542,2.750,-9.000,1006.771,-6.046,1013.321,-4.667,11.637,-7.837,-2.137,-9.000,-2.137,-9.000,-9.000,-9.000,-3.502,-3.746,-9.000,-9.000,12.629,9.183,13.708,13.913,13.567,13.529,13.104,1071.750,-9.000,3.667,-9.000,-9.000,0.300,,202604014087.500
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,254,25,-9.000,2.360,5.880,-1.560,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,68.040,3.000,-9.000,998.836,-6.012,1014.444,-5.160,8.788,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-3.611,-3.940,-9.000,-9.000,10.528,4.580,13.572,13.200,13.016,12.832,11.332,2577.240,-9.000,24.280,-9.000,-9.000,1.720,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,255,25,-9.000,5.600,7.760,7.240,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,78.280,2.760,-9.000,1006.444,-6.128,1012.532,-4.680,12.000,-7.856,-7.728,-9.000,-7.728,-9.000,-9.000,-9.000,-3.684,-3.944,-9.000,-9.000,13.644,9.636,12.996,13.516,13.296,12.580,12.448,1628.920,-9.000,16.560,-9.000,-9.000,0.764,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,257,25,-9.000,5.040,8.000,2.080,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,82.720,2.760,-9.000,1010.928,-6.168,1011.692,-4.760,12.608,-7.848,-4.472,-9.000,-4.472,-9.000,-9.000,-9.000,-3.666,-3.940,-9.000,-9.000,13.524,10.380,13.504,12.680,12.008,11.688,13.352,1127.400,-9.000,14.320,-9.000,-9.000,1.280,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,258,25,-9.000,3.560,6.760,8.040,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,71.920,2.840,-9.000,1014.020,-6.064,1014.220,-5.200,10.188,-8.264,-5.632,-9.000,-5.632,-9.000,-9.000,-9.000,-3.655,-3.952,-9.000,-9.000,11.784,6.788,13.572,13.800,13.716,13.380,11.784,2636.480,-9.000,24.280,-9.000,-9.000,2.632,,202604014332.000
2026-04-02,2026-04-01 07:00,2026-04-02 07:59,259,25,-9.000,3.960,6.360,6.320,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,72.720,2.920,-9.000,1012.232,-6.016,1014.160,-5.160,10.052,-8.640,-5.400,-9.000,-5.400,-9.000,-9.000,-9.000,-3.674,-3.960,-9.000,-9.000,11.460,6.484,13.500,13.412,13.196,13.580,12.216,1913.280,-9.000,14.080,-9.000,-9.000,1.292,,202604014332.000
