2026-04-02 21:37:53,789 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up85_anlmod_pa4_2026040112.gif
2026-04-02 21:37:53,791 [INFO] 다운로드 요청: 파일=up85_6h_2026040118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up85_anlmod_pa4_2026040118.gif
2026-04-02 21:37:53,842 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up85_anlmod_pa4_2026040118.gif
2026-04-02 21:37:53,844 [INFO] 다운로드 요청: 파일=up70_6h_2026033118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up70_anlmod_pa4_2026033118.gif
2026-04-02 21:37:53,954 [INFO] 다운로드 완료: 파일=up70_6h_2026033118.gif, 크기=116941
2026-04-02 21:37:53,955 [INFO] 다운로드 요청: 파일=up70_6h_2026040100.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up70_anlmod_pa4_2026040100.gif
2026-04-02 21:37:54,004 [INFO] 다운로드 완료: 파일=up70_6h_2026040100.gif, 크기=147446
2026-04-02 21:37:54,004 [INFO] 다운로드 요청: 파일=up70_6h_2026040106.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up70_anlmod_pa4_2026040106.gif
2026-04-02 21:37:54,041 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up70_anlmod_pa4_2026040106.gif
2026-04-02 21:37:54,042 [INFO] 다운로드 요청: 파일=up70_6h_2026040112.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up70_anlmod_pa4_2026040112.gif
2026-04-02 21:37:54,124 [INFO] 다운로드 완료: 파일=up70_6h_2026040112.gif, 크기=146314
2026-04-02 21:37:54,124 [INFO] 다운로드 요청: 파일=up70_6h_2026040118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up70_anlmod_pa4_2026040118.gif
2026-04-02 21:37:54,183 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up70_anlmod_pa4_2026040118.gif
2026-04-02 21:37:54,184 [INFO] 다운로드 요청: 파일=up50_6h_2026033118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up50_anlmod_pa4_2026033118.gif
2026-04-02 21:37:54,280 [INFO] 다운로드 완료: 파일=up50_6h_2026033118.gif, 크기=115785
2026-04-02 21:37:54,280 [INFO] 다운로드 요청: 파일=up50_6h_2026040100.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up50_anlmod_pa4_2026040100.gif
