report_date,window_start,window_end,stnId,obs_count,mean_BF,mean_CA_MID,mean_CA_TOT,mean_CH_MIN,mean_CT_LOW,mean_CT_MID,mean_CT_TOP,mean_GST_TM,mean_GST_WD,mean_GST_WS,mean_HM,mean_IR,mean_IX,mean_PA,mean_PR,mean_PS,mean_PT,mean_PV,mean_RN,mean_RN_DAY,mean_RN_INT,mean_RN_JUN,mean_SD_DAY,mean_SD_HR3,mean_SD_TOT,mean_SI,mean_SS,mean_ST_GD,mean_ST_SEA,mean_TA,mean_TD,mean_TE_005,mean_TE_01,mean_TE_02,mean_TE_03,mean_TS,mean_VS,mean_WC,mean_WD,mean_WH,mean_WP,mean_WS,mean_WW,mean_tm
20260409,20260409 09:00,20260409 21:00,184,2,2.000,4.500,9.000,-3.000,4.500,1.000,-3.500,1115.500,13.500,14.500,78.500,1.000,1.000,1002.150,-1.550,1004.550,2.500,16.900,0.100,26.350,-9.000,26.350,-9.000,-9.000,-9.000,-4.435,-4.500,-9.000,2.500,18.650,14.800,15.400,15.700,15.500,15.300,16.000,3762.500,56.000,14.000,0.750,80.000,3.050,201.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,185,2,-9.000,6.000,9.000,-3.500,-9.000,-9.000,-9.000,1115.500,16.000,19.000,99.500,2.000,-9.000,997.350,-0.550,1005.750,3.500,17.800,-4.050,44.000,-9.000,44.000,-9.000,-9.000,-9.000,-4.395,-4.500,-9.000,-9.000,15.800,15.650,-99.000,-99.000,-99.000,-99.000,15.600,416.000,-9.000,13.500,-9.000,-9.000,8.400,,202604091500.000
20260409,20260409 09:00,20260409 21:00,188,2,-9.000,8.000,9.500,-3.500,-9.000,-9.000,-9.000,1235.000,18.500,15.000,95.000,2.000,-9.000,1004.400,-0.900,1006.800,5.000,17.750,-4.150,53.800,-9.000,53.800,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,16.550,15.650,-99.000,-99.000,-99.000,-99.000,16.100,685.500,-9.000,18.000,-9.000,-9.000,6.700,,202604091500.000
20260409,20260409 09:00,20260409 21:00,189,2,1.500,9.000,10.000,3.000,7.000,2.000,-9.000,759.000,8.000,4.000,94.000,1.000,1.000,1001.650,0.150,1007.750,3.500,17.700,0.100,48.100,-9.000,48.100,-9.000,-9.000,-9.000,-4.485,-4.500,-9.000,4.000,16.650,15.600,-99.000,-99.000,-99.000,-99.000,16.050,615.000,60.500,15.000,2.000,80.000,1.600,1901.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,192,2,-9.000,9.500,9.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,96.000,1.000,-9.000,1003.600,-1.000,1007.150,6.000,12.850,0.150,25.100,-9.000,25.100,-9.000,-9.000,-9.000,-4.430,-4.500,-9.000,-9.000,11.100,10.450,-99.000,-99.000,-99.000,-99.000,12.550,730.000,-9.000,1.000,-9.000,-9.000,0.450,,202604091500.000
20260409,20260409 09:00,20260409 21:00,201,2,-9.000,5.000,9.000,10.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,84.500,1.000,-9.000,999.500,-0.900,1005.250,6.500,10.650,0.600,6.500,-9.000,6.500,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,10.400,7.600,-99.000,-99.000,-99.000,-99.000,10.000,1502.000,-9.000,9.000,-9.000,-9.000,1.300,,202604091500.000
20260409,20260409 09:00,20260409 21:00,202,2,-9.000,7.000,10.000,12.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,80.000,2.000,-3.500,999.900,-1.150,1005.600,7.500,9.850,-3.650,3.700,-9.000,3.700,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,9.750,6.100,-99.000,-99.000,-99.000,-99.000,10.350,1147.500,-9.000,9.000,-9.000,-9.000,0.650,,202604091500.000
20260409,20260409 09:00,20260409 21:00,203,2,-9.000,7.000,9.000,14.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,84.500,2.000,-9.000,996.500,-1.200,1006.150,6.500,10.250,-3.800,3.300,-9.000,3.300,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,9.600,6.850,-99.000,-99.000,-99.000,-99.000,10.650,1002.500,-9.000,0.000,-9.000,-9.000,0.200,,202604091500.000
20260409,20260409 09:00,20260409 21:00,211,2,-9.000,4.500,10.000,6.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,79.500,2.000,-9.000,982.400,-1.350,1006.600,7.000,8.900,-4.300,1.350,-9.000,1.350,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,8.600,4.900,-99.000,-99.000,-99.000,-99.000,10.250,1759.500,-9.000,13.500,-9.000,-9.000,1.550,,202604091500.000
20260409,20260409 09:00,20260409 21:00,212,2,-9.000,8.000,10.000,17.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,77.000,2.000,-9.000,989.900,-1.250,1006.800,6.500,8.750,-2.550,5.050,-9.000,5.050,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,8.400,4.400,-99.000,-99.000,-99.000,-99.000,9.000,1186.500,-9.000,10.000,-9.000,-9.000,0.800,,202604091500.000
