tm,stnId,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202604090900,119,7,1.4,-9,-9.0,-9,1006.9,1011.7,8,-1.5,11.3,3.0,57.0,7.6,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,60,62,01,10,3,10,ScAs,-9,2,5,2340,0.0,0.18,-9,9.6,9.3,9.6,10.2,10.4,-9,-9.0,-9,1,1
202604090900,121,18,0.9,-9,-9.0,-9,985.3,1014.6,8,-1.4,6.0,1.3,72.0,6.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,1,27,-,-9,-9,-9,2821,0.0,0.34,-9,9.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604090900,127,20,0.5,-9,-9.0,-9,998.4,1012.3,8,-1.5,8.6,1.7,62.0,6.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,10,22,-,-9,-9,-9,2229,0.0,0.20,-9,9.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604090900,129,9,2.5,-9,-9.0,-9,1008.1,1011.2,7,-1.7,10.6,4.5,66.0,8.4,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,10,14,-,-9,-9,-9,1761,0.0,0.13,-9,10.5,12.3,10.7,11.0,11.1,-9,-9.0,-9,1,-9
202604090900,130,23,0.9,-9,-9.0,-9,1006.5,1012.4,0,0.1,13.6,1.8,45.0,7.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,9,41,-,-9,-9,-9,4398,0.0,-9.00,-9,12.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604090900,131,34,0.8,-9,-9.0,-9,1004.6,1011.7,8,-1.7,11.3,1.2,50.0,6.7,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,60,62,01,10,6,16,ScAs,-9,2,5,2789,0.0,0.32,-9,11.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,1
202604090900,133,29,0.9,-9,-9.0,-9,1003.7,1011.9,8,-1.9,10.1,0.1,50.0,6.2,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,2,62,-,10,8,14,ScAs,-9,2,5,4332,0.0,0.26,-9,9.7,10.4,10.9,11.8,12.3,-9,-9.0,-9,3,1
202604090900,135,16,4.1,-9,-9.0,-9,983.4,1012.9,8,-1.4,8.1,1.2,62.0,6.7,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,9,16,-,-9,-9,-9,2616,0.0,0.29,-9,8.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604090900,136,0,0.2,-9,-9.0,-9,997.3,1014.3,7,-1.3,10.3,2.6,59.0,7.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,6,10,ScAs,-9,2,5,2990,0.0,0.37,-9,11.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202604090900,137,34,0.5,-9,-9.0,-9,1000.6,1012.3,8,-1.3,8.9,1.0,58.0,6.6,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,5,14,-,-9,-9,-9,3446,0.0,0.21,-9,9.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604090900,138,25,2.8,-9,-9.0,-9,1012.3,1012.8,8,-0.9,13.5,3.8,52.0,8.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,2,15,ScAs,-9,2,5,4199,0.0,0.40,-9,12.7,11.9,12.5,13.3,13.6,2,0.5,2,3,2
202604090900,140,32,2.6,-9,-9.0,-9,1008.1,1011.5,7,-1.7,9.7,6.7,82.0,9.8,0.8,0.8,0.8,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,9,10,-,-9,-9,-9,320,0.0,-9.00,-9,9.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202604090900,143,14,1.1,-9,-9.0,-9,1006.5,1013.0,7,-1.1,11.4,2.9,56.0,7.5,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,2,62,-,10,9,7,ScAs,-9,2,5,3681,0.0,0.17,-9,10.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202604090900,146,11,2.0,-9,-9.0,-9,1002.9,1010.1,8,-2.6,12.3,9.1,81.0,11.6,0.3,0.3,0.3,-9.0,-9.0,-9.0,-9.0,60,62,01,10,6,10,ScAs,-9,2,5,2570,0.0,0.16,-9,11.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,1
202604090900,152,20,2.7,-9,-9.0,-9,1003.5,1013.2,8,-0.7,13.9,10.4,80.0,12.6,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,2,62,-,10,9,5,ScAs,-9,2,5,3387,0.0,0.26,-9,13.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202604090900,155,18,2.5,-9,-9.0,-9,1009.3,1013.5,7,-1.6,11.6,10.6,94.0,12.8,0.0,1.5,1.5,-9.0,-9.0,-9.0,-9.0,21,62,01,10,7,3,ScAs,-9,2,5,2100,0.0,0.20,-9,12.6,-99.0,-99.0,-99.0,-99.0,2,0.5,2,1,1
202604090900,156,18,3.0,-9,-9.0,-9,1000.3,1008.7,8,-2.5,12.9,11.2,90.0,13.3,0.6,2.6,2.6,-9.0,-9.0,-9.0,-9.0,61,62,01,10,8,6,StNs,-9,2,7,2697,0.0,0.12,-9,12.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,1
