report_date,window_start,window_end,stnId,obs_count,mean_BF,mean_CA_MID,mean_CA_TOT,mean_CH_MIN,mean_CT_LOW,mean_CT_MID,mean_CT_TOP,mean_GST_TM,mean_GST_WD,mean_GST_WS,mean_HM,mean_IR,mean_IX,mean_PA,mean_PR,mean_PS,mean_PT,mean_PV,mean_RN,mean_RN_DAY,mean_RN_INT,mean_RN_JUN,mean_SD_DAY,mean_SD_HR3,mean_SD_TOT,mean_SI,mean_SS,mean_ST_GD,mean_ST_SEA,mean_TA,mean_TD,mean_TE_005,mean_TE_01,mean_TE_02,mean_TE_03,mean_TS,mean_VS,mean_WC,mean_WD,mean_WH,mean_WP,mean_WS,mean_WW,mean_tm
2026-04-01,2026-03-31 07:00,2026-04-01 07:59,90,25,-9.000,3.680,7.640,1.240,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,87.120,2.440,-9.000,1011.808,-5.944,1013.956,-5.080,9.136,-7.516,12.232,-9.000,12.232,-9.000,-9.000,-9.000,-3.798,-3.960,-9.000,-9.000,7.776,5.620,-99.000,-99.000,-99.000,-99.000,8.180,1445.440,-9.000,27.040,-9.000,-9.000,1.636,,202603535132.000
2026-04-01,2026-03-31 07:00,2026-04-01 07:59,93,25,-9.000,4.760,7.360,5.240,1.120,-1.880,-2.640,-9.000,-9.000,-9.000,79.160,3.080,-0.760,1001.816,-5.900,1013.416,-5.520,9.488,-8.600,2.588,-9.000,2.588,-9.000,-9.000,-9.000,-3.519,-3.820,-9.000,-9.000,9.964,6.176,11.112,11.856,12.004,11.944,10.872,1409.840,-2.240,13.920,-9.000,-0.320,1.660,634.333,202603535132.000
2026-04-01,2026-03-31 07:00,2026-04-01 07:59,95,25,-9.000,3.160,6.200,3.840,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,78.680,2.840,-9.000,994.640,-5.960,1013.372,-5.160,9.380,-8.616,0.788,-9.000,0.788,-9.000,-9.000,-9.000,-3.292,-3.684,-9.000,-9.000,10.012,6.052,-99.000,-99.000,-99.000,-99.000,11.556,3976.760,-9.000,7.040,-9.000,-9.000,1.956,,202603535132.000
2026-04-01,2026-03-31 07:00,2026-04-01 07:59,98,25,-9.000,3.960,5.920,6.680,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,66.120,2.920,-9.000,998.452,-5.948,1012.280,-4.920,9.192,-8.632,1.440,-9.000,1.440,-9.000,-9.000,-9.000,-3.340,-3.716,-9.000,-9.000,12.272,5.744,-99.000,-99.000,-99.000,-99.000,12.980,3964.920,-9.000,14.440,-9.000,-9.000,1.104,,202603535132.000
2026-04-01,2026-03-31 07:00,2026-04-01 07:59,99,25,-9.000,2.760,6.000,7.760,-9.000,-9.000,-9.000,82.680,-7.720,-7.480,69.720,2.920,-9.000,1009.156,-5.944,1012.844,-4.800,9.624,-8.640,0.360,-9.000,0.360,-9.000,-9.000,-9.000,-3.272,-3.748,-9.000,-9.000,12.196,6.400,-99.000,-99.000,-99.000,-99.000,14.288,3809.120,-9.000,6.200,-9.000,-9.000,1.352,,202603535132.000
2026-04-01,2026-03-31 07:00,2026-04-01 07:59,100,25,-9.000,7.120,7.720,-3.280,-9.000,-9.000,-9.000,79.920,-7.440,-6.640,96.960,2.280,-9.000,923.152,-5.788,1014.512,-5.680,7.696,-7.196,21.732,-9.000,21.732,-9.000,-9.000,-9.000,-3.823,-3.960,-9.000,-9.000,3.588,3.108,-99.000,-99.000,-99.000,-99.000,4.104,424.960,-9.000,18.840,-9.000,-9.000,1.800,,202603535132.000
2026-04-01,2026-03-31 07:00,2026-04-01 07:59,101,25,-9.000,4.000,7.280,11.280,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,77.280,2.840,-9.000,1003.232,-5.908,1012.400,-5.640,9.556,-8.584,3.304,-9.000,3.304,-9.000,-9.000,-9.000,-3.573,-3.908,-9.000,-9.000,10.368,6.284,11.732,11.800,11.724,11.344,11.080,3508.400,-9.000,16.080,-9.000,-9.000,1.844,,202603535132.000
2026-04-01,2026-03-31 07:00,2026-04-01 07:59,102,25,-9.000,1.720,5.360,1.240,-3.000,-3.040,-4.680,-9.000,-9.000,-9.000,61.240,3.080,-0.760,1007.052,-5.972,1011.428,-5.000,6.980,-8.280,-8.280,-9.000,-8.280,-9.000,-9.000,-9.000,-2.755,-3.188,-9.000,-9.000,8.932,1.644,-99.000,-99.000,-99.000,-99.000,13.344,2646.040,-4.280,30.480,-1.780,-2.080,2.208,1273.667,202603535132.000
2026-04-01,2026-03-31 07:00,2026-04-01 07:59,104,25,-9.000,4.160,7.760,-0.120,0.680,-1.920,-6.520,-9.000,-9.000,-9.000,97.760,3.200,0.520,1003.452,-5.904,1012.640,-5.200,10.392,-7.624,16.516,-9.000,16.516,-9.000,-9.000,-9.000,-3.817,-3.960,-9.000,-9.000,7.896,7.472,10.276,10.776,11.376,11.316,9.244,1053.160,15.920,19.440,-9.000,23.520,1.428,644.619,202603535132.000
2026-04-01,2026-03-31 07:00,2026-04-01 07:59,105,25,-9.000,3.760,7.600,0.200,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,90.560,2.440,-9.000,1010.552,-5.900,1013.864,-5.200,10.148,-7.632,21.184,-9.000,21.184,-9.000,-9.000,-9.000,-3.814,-3.960,-9.000,-9.000,8.680,7.140,9.536,9.836,9.912,10.616,8.776,1303.440,-9.000,25.520,-9.000,-9.000,1.868,,202603535132.000
