tm,stnId,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202603310700,90,32,1.3,-9,-9.0,-9,1009.0,1011.1,-9,-9.0,9.6,8.1,91.0,10.8,-9.0,13.7,13.7,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,2,10,-,-9,-9,-9,1074,0.0,0.02,-9,9.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202603310700,93,34,3.4,-9,-9.0,-9,999.1,1010.7,-9,-9.0,9.7,8.1,90.0,10.8,-9.0,7.0,7.0,-9.0,-9.0,-9.0,-9.0,61,66,1901,10,8,4,StNs,-9,2,7,1100,0.0,0.01,-9,9.5,10.3,11.3,11.8,11.8,-9,-9.0,-9,4,1
202603310700,95,7,2.0,-9,-9.0,-9,992.2,1011.0,-9,-9.0,8.8,7.2,90.0,10.2,-9.0,4.5,4.5,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,3,20,-,-9,-9,-9,1494,0.0,0.00,-9,9.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202603310700,98,34,1.1,-9,-9.0,-9,996.0,1010.0,-9,-9.0,9.3,6.5,83.0,9.7,-9.0,5.5,5.5,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,6,20,-,-9,-9,-9,1007,0.0,0.00,-9,9.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202603310700,99,5,1.1,-9,-9.0,-9,1007.6,1011.3,-9,-9.0,8.6,7.2,91.0,10.2,-9.0,4.0,4.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,2,17,-,-9,-9,-9,563,0.0,0.01,-9,10.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202603310700,100,7,5.2,2,11.0,637,919.8,1010.1,-9,-9.0,5.5,4.6,94.0,8.5,-9.0,29.1,29.1,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,8,4,-,-9,-9,-9,529,0.0,0.02,-9,4.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202603310700,101,32,1.8,-9,-9.0,-9,1000.6,1009.8,-9,-9.0,9.8,7.9,88.0,10.6,-9.0,7.9,7.9,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,5,13,-,-9,-9,-9,1180,0.0,0.01,-9,9.9,10.8,11.2,11.3,11.2,-9,-9.0,-9,1,-9
202603310700,102,32,2.7,-9,-9.0,-9,1004.9,1009.3,-9,-9.0,6.2,2.8,79.0,7.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2984,0.0,0.02,-9,5.8,-99.0,-99.0,-99.0,-99.0,-9,0.5,-9,3,2
202603310700,104,32,2.9,-9,-9.0,-9,1000.3,1009.4,-9,-9.0,8.9,8.8,100.0,11.3,-9.0,22.9,22.9,-9.0,-9.0,-9.0,-9.0,63,66,1901,10,9,2,StNs,-9,2,7,686,0.0,0.01,-9,9.7,10.7,11.3,12.0,11.9,-9,-9.0,-9,4,1
202603310700,105,32,4.3,-9,-9.0,-9,1007.2,1010.5,-9,-9.0,9.8,9.0,95.0,11.5,-9.0,29.8,29.8,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,7,2,-,-9,-9,-9,945,0.0,0.02,-9,9.2,10.0,10.3,10.5,11.3,-9,-9.0,-9,1,-9
